Word,ID,Weight,Class
into,114,-0.006017985679143767,Data1
R,115,-0.04212589975400637,Data1
CONSTITUTIONAL,116,-0.006017985679143767,Data1
are,117,-0.006017985679143767,Data1
power,118,-0.03610791407486261,Data1
   Pursuant,119,-0.006017985679143767,Data1
legislation,120,-0.03610791407486261,Data1
clause,121,-0.006017985679143767,Data1
necessary,122,-0.006017985679143767,Data1
H1584,123,-0.006017985679143767,Data1
Government,124,-0.006017985679143767,Data1
Rules,125,-0.006017985679143767,Data1
Section,126,-0.030089928395718838,Data1
MALONEY,127,-0.006017985679143767,Data1
By,128,-0.03610791407486261,Data1
XII,129,-0.006017985679143767,Data1
powers,130,-0.006017985679143767,Data1
STATEMENT,131,-0.006017985679143767,Data1
New,132,-0.006017985679143767,Data1
joint,133,-0.006017985679143767,Data1
pursuant,134,-0.03610791407486261,Data1
section,135,-0.006017985679143767,Data1
enact,136,-0.04212589975400637,Data1
KIRKPATRICK,137,-0.006017985679143767,Data1
Execution,138,-0.006017985679143767,Data1
has,139,-0.03610791407486261,Data1
To,140,-0.006017985679143767,Data1
all,141,-0.012035971358287535,Data1
   ,142,-0.10832374222458782,Data1
this,143,-0.04212589975400637,Data1
shall,144,-0.006017985679143767,Data1
regarding,145,-0.006017985679143767,Data1
thereof,146,-0.006017985679143767,Data1
carrying,147,-0.006017985679143767,Data1
Congress,148,-0.04212589975400637,Data1
York,149,-0.006017985679143767,Data1
rule,150,-0.006017985679143767,Data1
proper,151,-0.006017985679143767,Data1
statements,152,-0.006017985679143767,Data1
Representatives,153,-0.012035971358287535,Data1
vested,154,-0.006017985679143767,Data1
   Article,155,-0.03610791407486261,Data1
SEAN,156,-0.006017985679143767,Data1
accompanying,157,-0.006017985679143767,Data1
make,158,-0.006017985679143767,Data1
   H,159,-0.006017985679143767,Data1
specific,160,-0.006017985679143767,Data1
any,161,-0.006017985679143767,Data1
Powers,162,-0.012035971358287535,Data1
Clause,163,-0.012035971358287535,Data1
Officer,164,-0.006017985679143767,Data1
